11/06/2026 09:46:45 
teste_iled_dens_12_queda.txt 
Soma: 2730124998
Dose: 0.0
13014;1791;2361 
13015;1680;2391 
13017;1650;2376 
13018;1633;2352 
13021;1613;2332 
13025;1596;2303 
13028;1579;2278 
13031;1562;2254 
13034;1545;2230 
13037;1528;2205 
13040;1511;2181 
13043;1498;2161 
13046;1481;2137 
13049;1461;2108 
13052;1448;2088 
13056;1431;2064 
13059;1417;2039 
13062;1400;2020 
13065;1384;1995 
13069;1370;1976 
13072;1353;1952 
13075;1340;1932 
13078;1323;1912 
13081;1309;1888 
13084;1296;1869 
13087;1279;1849 
13090;1266;1825 
13093;1252;1805 
13096;1235;1786 
13100;1222;1766 
13103;1208;1747 
13106;1195;1722 
13109;1181;1708 
13113;1171;1688 
13116;1155;1668 
13119;1141;1649 
13122;1131;1629 
13125;1117;1610 
13128;1104;1590 
13131;1091;1571 
13134;1077;1551 
13137;1067;1537 
13140;1054;1517 
13144;1040;1503 
13147;1030;1488 
13150;1016;1468 
13153;1006;1449 
13157;993;1434 
13160;983;1415 
13163;973;1400 
13166;963;1385 
13169;949;1371 
13172;939;1356 
13175;929;1342 
13178;919;1327 
13181;909;1312 
13185;899;1293 
13188;889;1278 
13191;878;1268 
13194;868;1254 
13197;858;1234 
13201;845;1224 
13204;838;1210 
13207;828;1195 
13210;818;1185 
13213;811;1171 
13216;801;1156 
13219;791;1141 
13222;784;1132 
13225;777;1122 
13229;767;1107 
13232;761;1093 
13235;750;1078 
13238;744;1068 
13241;737;1063 
13245;730;1054 
13248;724;1039 
13251;713;1029 
13254;707;1015 
13257;700;1010 
13260;697;1000 
13263;686;985 
13266;680;980 
13270;673;976 
13273;666;966 
13276;663;956 
13279;653;946 
13282;649;936 
13285;643;932 
13289;639;927 
13292;636;917 
13295;629;907 
13298;622;897 
13301;616;893 
13304;609;888 
13307;609;878 
13310;606;873 
13314;599;868 
13317;596;858 
13320;592;854 
13323;589;849 
13326;582;844 
13329;582;839 
13333;579;829 
13336;575;829 
13339;569;819 
13342;569;819 
13345;565;810 
13348;562;810 
13351;555;800 
13355;555;800 
13358;552;800 
13361;552;795 
13364;548;790 
13367;545;785 
13370;542;780 
13373;538;780 
13377;538;771 
13380;532;771 
13383;532;766 
13386;532;766 
13389;528;761 
13392;525;761 
13395;525;761 
13399;521;756 
13402;518;746 
13405;518;746 
13408;521;746 
13411;518;741 
13414;511;741 
13417;511;741 
13421;511;736 
13424;508;736 
13427;508;732 
13430;505;732 
13433;505;727 
13436;505;727 
13440;505;727 
13443;501;727 
13446;501;722 
13449;501;722 
13452;498;722 
13455;498;717 
13458;498;717 
13461;495;717 
13465;491;717 
13468;491;712 
13471;495;712 
13474;491;712 
13477;488;712 
13480;488;707 
13484;491;707 
13487;488;707 
13490;488;707 
13493;488;707 
13496;488;702 
13499;484;702 
13502;481;702 
13505;484;702 
13509;484;702 
13512;484;697 
13515;484;697 
13518;481;697 
13521;478;697 
13524;481;697 
13528;478;697 
13531;481;697 
13534;481;697 
13537;478;692 
13540;481;692 
13543;481;692 
13546;478;692 
13549;481;692 
13553;478;692 
13556;478;688 
13559;478;688 
13562;478;688 
13565;474;688 
13569;474;688 
13572;474;688 
13575;474;688 
13578;474;688 
13581;471;688 
13584;474;683 
13587;474;683 
13590;474;683 
13593;474;683 
13597;471;688 
13600;471;683 
13603;471;683 
13606;468;683 
13609;471;683 
13613;471;683 
13616;471;678 
13619;471;678 
13622;471;683 
13625;468;683 
13628;471;683 
13631;468;678 
13634;471;683 
13637;471;678 
13641;468;678 
13644;471;678 
13647;468;683 
13650;468;683 
13654;468;678 
13657;468;678 
13660;468;673 
13663;468;678 
13666;468;678 
13669;468;678 
13672;468;678 
13675;468;678 
13678;468;678 
13681;468;678 
13685;468;678 
13688;468;678 
13691;468;678 
13694;468;678 
13698;468;678 
13701;468;678 
13704;468;678 
13707;468;678 
13710;468;678 
13713;468;673 
13716;464;673 
13719;468;673 
13722;468;678 
13725;468;678 
13729;464;678 
13732;464;673 
13735;464;673 
13739;464;673 
13742;468;673 
13745;468;673 
13748;468;673 
13751;464;678 
13754;468;673 
13757;464;668 
13760;464;673 
13763;468;678 
13766;464;673 
13769;461;673 
13773;464;673 
13776;464;678 
13779;464;673 
13783;464;673 
13786;464;673 
13789;468;673 
13792;468;673 
13795;468;673 
13798;464;673 
13801;461;673 
13804;464;673 
13807;464;673 
13810;464;673 
13813;464;673 
13817;464;673 
13820;464;673 
13824;464;668 
13827;464;673 
13830;464;673 
13833;464;668 
13836;464;673 
13839;464;673 
13842;468;673 
13845;468;673 
13848;464;673 
13851;468;678 
13854;464;678 
13857;468;673 
13861;468;673 
13864;464;673 
13868;464;668 
13871;464;673 
13874;464;673 
13877;468;673 
13880;464;673 
13883;464;673 
13886;468;673 
13889;464;673 
13892;468;673 
13895;464;673 
13898;464;673 
13901;464;673 
13905;464;673 
13908;464;673 
13912;464;673 
13915;464;673 
13918;464;668 
13921;464;668 
13924;464;673 
13927;464;673 
13930;464;673 
13933;461;668 
13936;461;668 
13939;461;673 
13942;464;673 
13945;464;673 
13949;464;673 
13953;464;673 
13956;464;673 
13959;464;673 
13962;464;673 
13965;464;673 
13968;464;668 
13971;464;673 
13974;464;673 
13977;464;673 
13980;464;673 
13983;461;673 
13986;464;673 
13989;464;673 
13993;464;673 
13997;468;673 
14000;464;673 
14003;464;673 
14006;464;673 
14009;464;673 
14012;464;668 
14015;464;673 
14018;464;673 
14021;464;668 
14024;464;673 
14027;464;673 
14030;464;668 
14033;461;673 
14038;464;668 
14041;464;668 
14044;464;673 
14047;464;673 
14050;464;673 
14053;464;673 
14056;464;673 
14059;464;673 
14062;464;673 
14065;464;668 
14068;461;673 
14071;464;668 
14074;464;673 
14077;464;673 
14082;461;673 
14085;464;673 
14088;464;673 
14091;464;673 
14094;464;673 
14097;464;673 
14100;464;668 
14103;461;668 
14106;464;673 
14109;464;673 
14112;464;673 
14115;464;668 
14118;464;668 
14121;461;668 
14126;464;668 
14129;461;673 
14132;461;668 
14135;461;668 
14138;464;668 
14141;461;668 
14144;464;668 
14147;461;668 
14150;461;668 
14153;464;668 
14156;461;668 
14159;461;668 
14162;461;668 
14166;461;663 
14170;464;663 
14173;461;668 
14176;461;668 
14179;464;668 
14182;461;668 
14185;461;668 
14188;464;668 
14191;461;668 
14194;464;668 
14197;461;668 
14200;461;668 
14203;464;668 
14206;464;673 
14210;461;668 
14214;464;668 
14217;461;668 
14220;461;668 
14223;461;668 
14226;461;668 
14229;461;668 
14232;461;668 
14235;461;668 
14238;461;668 
14241;461;668 
14244;464;668 
14247;457;668 
14251;461;668 
14254;461;668 
14258;464;668 
14261;461;673 
14264;464;668 
14267;461;668 
14270;464;668 
14273;464;668 
14276;464;668 
14279;464;673 
14282;464;668 
14285;464;668 
14288;464;668 
14291;464;668 
14295;464;668 
14298;464;673 
14302;464;673 
14305;461;673 
14308;461;673 
14311;461;668 
14314;464;668 
14317;461;668 
14320;461;668 
14323;461;673 
14326;464;673 
14329;461;668 
14332;461;668 
14336;461;668 
14339;461;668 
14342;464;668 
14346;461;668 
14349;464;668 
14352;464;668 
14355;461;673 
14358;461;668 
14361;461;668 
14364;461;663 
14367;461;663 
14370;461;668 
14373;461;663 
14376;464;668 
14380;461;668 
14383;461;668 
14386;461;668 
14390;457;668 
14393;461;668 
14396;461;668 
14399;461;663 
14402;461;668 
14405;461;668 
14408;461;668 
14411;461;668 
14414;461;668 
14417;457;668 
14420;461;668 
14424;461;668 
14427;461;668 
14430;461;668 
14434;457;668 
14437;461;663 
14440;461;668 
14443;461;663 
14446;461;663 
14449;457;663 
14452;461;663 
14455;457;668 
14458;457;668 
14461;461;663 
14465;461;668 
14468;461;663 
14471;461;668 
14474;461;663 
14478;461;663 
14481;461;668 
14484;457;663 
14487;461;663 
14490;461;668 
14493;461;663 
14496;461;668 
14499;461;663 
14502;457;663 
14505;461;668 
14509;461;668 
14512;461;668 
14515;461;668 
14518;457;668 
14521;461;668 
14525;461;668 
14528;461;668 
14531;461;668 
14534;457;668 
14537;457;663 
14540;461;668 
14543;461;663 
14546;461;668 
14550;461;663 
14553;457;663 
14556;461;668 
14559;457;663 
14562;454;663 
14565;461;663 
14569;461;663 
14572;457;663 
14575;464;658 
14578;457;663 
14581;457;663 
14584;457;668 
14587;457;663 
14590;461;668 
14594;457;663 
14597;457;663 
14600;457;663 
14603;461;658 
14606;457;668 
14609;461;663 
14613;457;663 
14616;461;663 
14619;461;663 
14622;457;663 
14625;461;658 
14628;457;663 
14631;457;663 
14635;454;663 
14638;454;658 
14641;457;663 
14644;457;658 
14647;457;658 
14650;457;658 
14653;457;663 
14657;457;663 
14660;457;663 
14663;457;663 
14666;457;663 
14669;457;663 
14672;457;663 
14675;457;663 
14679;457;663 
14682;457;663 
14685;457;663 
14688;457;663 
14691;457;663 
14694;457;663 
14697;457;663 
14701;457;663 
14704;457;663 
14707;457;668 
14710;457;663 
14713;457;663 
14716;461;663 
14720;457;663 
14723;461;663 
14726;461;663 
14729;461;663 
14732;457;663 
14735;457;663 
14738;457;663 
14741;457;663 
14745;461;663 
14748;457;663 
14751;457;663 
14754;457;663 
14757;457;668 
14760;457;668 
14764;457;663 
14767;457;663 
14770;457;663 
14773;457;668 
14776;457;663 
14779;461;663 
14782;461;668 
14785;457;663 
14789;457;663 
14792;457;663 
14795;457;663 
14798;461;663 
14801;457;663 
14804;457;663 
14808;457;668 
14811;457;663 
14814;454;663 
14817;457;663 
14820;457;658 
14823;457;663 
14826;457;663 
14829;457;663 
14833;457;663 
14836;457;663 
14839;457;663 
14842;457;663 
14845;457;658 
14849;457;658 
14852;457;663 
14855;457;658 
14858;461;663 
14861;457;663 
14864;457;663 
14867;457;663 
14870;457;663 
14873;457;663 
14877;457;663 
14880;457;658 
14883;457;663 
14886;457;663 
14889;457;663 
14893;457;663 
14896;457;663 
14899;457;663 
14902;457;663 
14905;457;663 
14908;461;663 
14911;457;663 
14914;454;658 
14917;457;658 
14921;457;663 
14924;457;658 
14927;457;663 
14930;457;663 
14934;457;663 
14937;457;663 
14940;457;663 
14943;457;663 
14946;457;663 
14949;457;658 
14952;457;663 
14955;457;663 
14958;457;663 
14961;457;663 
14965;454;658 
14968;457;658 
14971;457;658 
14974;454;663 
14978;457;663 
14981;457;663 
14984;457;663 
14987;457;663 
14990;457;663 
14993;457;663 
14996;457;663 
14999;457;663 
15002;457;663 
15005;457;668 
15009;457;663 
15012;461;668 
15015;457;658 
15019;457;663 
15022;461;663 
15025;457;663 
15028;457;663 
15031;461;663 
15034;457;663 
15037;461;663 
15040;461;663 
15043;457;663 
15046;461;663 
15049;457;663 
15053;461;663 
15056;461;668 
15059;461;668 
15063;461;668 
15066;457;663 
15069;461;668 
15072;461;663 
15075;461;668 
15078;461;663 
15081;461;668 
15084;461;668 
15087;457;668 
15090;461;668 
15093;461;668 
15097;461;663 
15100;461;668 
15104;461;668 
15107;461;668 
15110;461;668 
15113;457;663 
15116;457;663 
15119;457;663 
15122;461;663 
15125;461;668 
15128;461;663 
15131;457;663 
15134;457;668 
15137;457;663 
15141;461;663 
15144;457;663 
15148;457;663 
15151;461;663 
15154;461;663 
15157;457;668 
15160;461;663 
15163;461;663 
15166;457;663 
15169;461;663 
15172;461;663 
15175;461;663 
15178;457;663 
15181;457;663 
15185;461;663 
15188;457;663 
15192;457;663 
15195;461;663 
15198;461;663 
15201;461;663 
15204;457;663 
15207;457;663 
15210;461;668 
15213;457;663 
15216;457;663 
15219;457;663 
15222;457;663 
15225;457;668 
15229;461;663 
15233;457;663 
15236;457;663 
15239;457;663 
15242;457;663 
15245;457;663 
15248;457;663 
15251;457;663 
15254;457;658 
15257;457;668 
15260;457;663 
15263;457;663 
15266;457;663 
15269;461;663 
15273;457;663 
15277;457;658 
15280;457;663 
15283;457;663 
15286;457;663 
15289;457;663 
15292;457;663 
15295;457;663 
15298;457;663 
15301;457;658 
15304;457;658 
15307;457;668 
15310;457;663 
15313;457;663 
15318;457;663 
15321;457;663 
15324;457;663 
15327;457;663 
15330;457;658 
15333;457;663 
15336;457;663 
15339;457;663 
15342;457;663 
15345;457;663 
15348;461;663 
15351;457;663 
15354;457;663 
15357;461;663 
15362;457;663 
15365;457;663 
15368;457;663 
15371;457;663 
15374;457;663 
15377;457;663 
15380;457;663 
15383;457;663 
15386;461;663 
15389;457;663 
15392;457;668 
15395;461;663 
15398;457;658 
15401;457;663 
15406;457;663 
15409;457;663 
15412;457;663 
15415;457;663 
15418;454;658 
15421;457;663 
15424;457;658 
15427;457;658 
15430;457;658 
15433;457;663 
15436;457;663 
15439;454;663 
15442;457;663 
15446;457;663 
15450;457;653 
15453;457;663 
15456;457;663 
15459;457;663 
15462;457;663 
15465;457;663 
15468;457;663 
15471;457;663 
15474;457;663 
15477;457;663 
15480;457;663 
15483;457;663 
15486;457;663 
15490;454;663 
15494;457;658 
15497;457;663 
15500;457;663 
15503;457;658 
15506;457;663 
15509;457;663 
15512;457;663 
15515;457;663 
15518;457;658 
15521;457;663 
15524;457;663 
15527;457;663 
15531;457;658 
15534;457;663 
15538;457;663 
15541;461;663 
15544;457;663 
15547;457;663 
15550;457;663 
15553;457;663 
15556;461;663 
15559;457;663 
15562;457;663 
15565;457;663 
15568;457;658 
15571;457;663 
15575;457;663 
15578;457;658 
15582;457;658 
15585;457;658 
15588;457;663 
15591;457;663 
15594;454;663 
15597;457;663 
15600;457;663 
15603;457;663 
15606;457;663 
15609;461;668 
15612;457;663 
15616;457;663 
15619;457;663 
15622;457;658 
15626;457;663 
15629;457;658 
15632;457;658 
15635;457;663 
15638;457;663 
15641;457;663 
15644;457;658 
15647;457;658 
15650;457;663 
15653;457;658 
15656;457;663 
15660;457;663 
15663;457;663 
15666;457;663 
15670;457;663 
15673;457;658 
15676;457;663 
15679;457;663 
15682;454;658 
15685;457;663 
15688;457;663 
15691;457;663 
15694;457;658 
15697;457;658 
15700;457;663 
15704;457;663 
15707;457;663 
15710;457;663 
15714;457;663 
15717;454;658 
15720;457;663 
15723;457;663 
15726;457;663 
15729;454;663 
15732;461;658 
15735;457;663 
15738;457;663 
15741;457;663 
15745;457;663 
15748;457;663 
15751;457;663 
15754;457;663 
15758;461;663 
15761;461;663 
15764;457;663 
15767;457;663 
15770;457;663 
15773;457;658 
15776;457;663 
15779;457;663 
15782;457;663 
15785;457;658 
15789;457;663 
15792;454;663 
15795;457;663 
15798;454;663 
15802;457;663 
15805;457;663 
15808;457;663 
15811;457;663 
15814;457;663 
15817;457;663 
15820;454;663 
15823;457;663 
15826;461;663 
15830;461;663 
15833;457;663 
15836;457;663 
15839;457;663 
15842;457;663 
15846;457;663 
15849;457;663 
15852;457;663 
15855;461;663 
15858;457;663 
15861;457;663 
15864;457;663 
15867;454;663 
15870;457;663 
15874;457;663 
15877;457;663 
15880;457;663 
15883;457;658 
15886;457;658 
15890;457;663 
15893;457;663 
15896;454;663 
15899;457;658 
15902;457;663 
15905;457;663 
15908;457;663 
15911;454;658 
15915;457;663 
15918;457;663 
15921;454;663 
15924;457;663 
15927;457;663 
15930;457;663 
15934;457;663 
15937;457;658 
15940;457;663 
15943;457;663 
15946;454;663 
15949;454;663 
15952;457;663 
15955;457;663 
15959;457;658 
15962;457;663 
15965;457;663 
15968;457;663 
15971;457;658 
15974;457;663 
15978;457;663 
15981;457;658 
15984;457;658 
15987;457;663 
15990;457;663 
15993;454;663 
15996;457;668 
16000;457;658 
16003;457;663 
16006;461;663 
16009;461;663 
