09/07/2026 12:37:59 
teste8.txt 
Soma: 40513
Dose: 40513.0
Tempo;Leitura;Luz;Corrente 
0.1;12;870;516 
0.2;13;870;517 
0.3;13;870;516 
0.4;8;870;516 
0.5;17;870;516 
0.6;10;870;516 
0.7;14;870;516 
0.8;15;870;516 
0.9;9;870;516 
1.0;16;870;516 
1.1;10;870;516 
1.2;14;870;516 
1.3;9;870;516 
1.4;6;870;516 
1.5;9;870;516 
1.6;7;870;516 
1.7;8;870;516 
1.8;13;870;516 
1.9;7;870;516 
2.0;12;870;516 
2.1;5;870;517 
2.2;10;870;516 
2.3;11;870;517 
2.4;14;870;517 
2.5;9;870;517 
2.6;14;870;516 
2.7;6;870;517 
2.8;11;870;516 
2.9;10;870;517 
