09/07/2026 13:33:39 
teste21.txt 
Soma: 306
Dose: 0.00663255
Tempo;Leitura;Luz;Corrente 
0.1;13;876;520 
0.2;13;876;520 
0.3;16;876;520 
0.4;15;876;520 
0.5;12;876;520 
0.6;5;876;520 
0.7;10;876;520 
0.8;7;876;520 
0.9;9;876;520 
1.0;12;876;520 
1.1;11;876;520 
1.2;10;876;520 
1.3;7;876;520 
1.4;6;876;520 
1.5;16;876;520 
1.6;12;876;520 
1.7;13;876;520 
1.8;9;876;520 
1.9;7;876;520 
2.0;8;876;520 
2.1;6;876;520 
2.2;14;876;520 
2.3;11;876;520 
2.4;9;876;520 
2.5;10;876;520 
2.6;10;876;520 
2.7;15;876;520 
2.8;8;876;520 
2.9;4;876;520 
3.0;8;876;520 
