09/07/2026 13:04:15 
teste14.txt 
Soma: 284
Dose: 284.0
Tempo;Leitura;Luz;Corrente 
0.1;11;876;522 
0.2;11;876;523 
0.3;6;876;523 
0.4;7;876;523 
0.5;8;876;523 
0.6;12;876;523 
0.7;12;876;523 
0.8;13;876;523 
0.9;8;876;523 
1.0;10;876;523 
1.1;14;876;523 
1.2;5;876;523 
1.3;9;876;523 
1.4;10;876;523 
1.5;13;876;523 
1.6;12;876;523 
1.7;6;876;523 
1.8;5;876;523 
1.9;4;876;523 
2.0;9;876;523 
2.1;10;876;523 
2.2;11;876;522 
2.3;9;876;522 
2.4;10;876;523 
2.5;8;876;523 
2.6;13;876;523 
2.7;12;876;523 
2.8;5;876;523 
2.9;12;876;523 
3.0;9;876;523 
