09/07/2026 12:16:17 
teste1.txt 
Soma: 42048
Dose: 42048.0
Tempo;Leitura;Luz;Corrente 
0.1;4;870;520 
0.2;6;870;521 
0.3;12;870;521 
0.4;11;870;521 
0.5;7;870;521 
0.6;10;870;521 
0.7;7;870;521 
0.8;12;870;521 
0.9;11;870;521 
1.0;9;870;521 
1.1;17;870;521 
1.2;5;870;521 
1.3;4;870;521 
1.4;8;870;521 
1.5;10;873;522 
1.6;6;870;522 
1.7;13;873;521 
1.8;13;870;521 
1.9;4;870;522 
2.0;8;870;522 
2.1;7;870;522 
2.2;5;873;522 
2.3;10;873;522 
2.4;11;873;522 
2.5;11;873;522 
2.6;12;873;522 
2.7;7;873;522 
2.8;12;873;522 
2.9;11;873;522 
3.0;9;873;522 
