09/07/2026 13:23:03 
teste18.txt 
Soma: 282
Dose: 239.7
Tempo;Leitura;Luz;Corrente 
0.1;11;444;520 
0.2;8;876;521 
0.3;12;876;521 
0.4;10;876;521 
0.5;13;876;520 
0.6;10;876;521 
0.7;14;876;520 
0.8;8;876;520 
0.9;6;876;520 
1.0;11;876;521 
1.1;10;876;520 
1.2;9;876;520 
1.3;6;876;520 
1.4;9;876;520 
1.5;15;876;520 
1.6;7;876;520 
1.7;14;876;520 
1.8;8;876;520 
1.9;13;876;520 
2.0;13;876;520 
2.1;2;876;520 
2.2;10;876;520 
2.3;9;876;520 
2.4;9;876;520 
2.5;9;876;520 
2.6;12;876;520 
2.7;5;876;520 
2.8;6;876;520 
2.9;7;876;520 
3.0;6;876;520 
