09/07/2026 12:57:51 
teste13.txt 
Soma: 42299
Dose: 42299.0
Tempo;Leitura;Luz;Corrente 
0.1;10;876;523 
0.2;7;876;524 
0.3;7;876;524 
0.4;4;876;524 
0.5;13;876;524 
0.6;6;876;524 
0.7;8;876;524 
0.8;11;876;524 
0.9;10;876;524 
1.0;13;876;524 
1.1;7;876;524 
1.2;8;876;524 
1.3;13;876;524 
1.4;21;876;524 
1.5;5;876;524 
1.6;7;876;524 
1.7;10;876;524 
1.8;10;876;524 
1.9;9;876;524 
2.0;8;876;524 
2.1;17;876;524 
2.2;11;876;524 
2.3;9;876;524 
2.4;8;876;525 
2.5;10;876;525 
2.6;8;876;525 
2.7;16;876;525 
2.8;5;876;525 
2.9;14;876;524 
3.0;10;876;524 
