09/07/2026 13:04:58 
teste15.txt 
Soma: 318
Dose: 318.0
Tempo;Leitura;Luz;Corrente 
0.1;13;441;522 
0.2;11;876;523 
0.3;9;876;523 
0.4;11;876;523 
0.5;8;876;523 
0.6;13;876;523 
0.7;19;876;523 
0.8;10;876;523 
0.9;6;876;523 
1.0;3;876;523 
1.1;11;876;523 
1.2;16;876;523 
1.3;16;876;523 
1.4;8;876;523 
1.5;14;876;523 
1.6;13;876;523 
1.7;5;876;523 
1.8;10;876;523 
1.9;7;876;523 
2.0;11;876;523 
2.1;14;876;523 
2.2;15;876;523 
2.3;13;876;523 
2.4;5;876;523 
2.5;6;876;523 
2.6;10;876;523 
2.7;10;876;523 
2.8;11;876;523 
2.9;8;876;523 
3.0;12;876;523 
