09/07/2026 12:44:06 
teste11.txt 
Soma: 42002
Dose: 42002.0
Tempo;Leitura;Luz;Corrente 
0.1;13;870;516 
0.2;5;873;517 
0.3;10;873;517 
0.4;11;873;517 
0.5;11;873;517 
0.6;7;873;517 
0.7;17;873;517 
0.8;17;873;517 
0.9;11;873;517 
1.0;15;873;517 
1.1;6;873;517 
1.2;13;873;517 
1.3;10;873;517 
1.4;9;873;517 
1.5;6;873;517 
1.6;5;873;517 
1.7;12;873;517 
1.8;7;873;517 
1.9;16;873;517 
2.0;4;873;518 
2.1;12;873;517 
2.2;8;873;517 
2.3;9;873;517 
2.4;7;873;517 
2.5;4;873;517 
2.6;16;873;517 
2.7;8;873;518 
2.8;8;873;518 
2.9;11;873;517 
3.0;14;873;518 
