09/07/2026 12:35:51 
teste6.txt 
Soma: 40273
Dose: 40273.0
Tempo;Leitura;Luz;Corrente 
0.1;0;867;513 
0.2;3;867;513 
0.3;6;867;513 
0.4;7;867;513 
0.5;5;867;513 
0.6;9;867;513 
0.7;7;867;513 
0.8;15;867;513 
0.9;10;867;513 
1.0;7;867;513 
1.1;9;867;513 
1.2;8;867;513 
1.3;9;867;513 
1.4;11;867;513 
1.5;6;867;513 
1.6;9;867;513 
1.7;7;867;514 
1.8;6;867;514 
1.9;5;867;514 
2.0;6;867;514 
2.1;11;867;514 
2.2;6;870;514 
2.3;14;867;514 
2.4;6;867;514 
2.5;7;870;514 
2.6;9;870;514 
2.7;18;867;514 
2.8;6;870;515 
2.9;5;867;514 
