09/07/2026 12:42:08 
teste10.txt 
Soma: 42032
Dose: 42032.0
Tempo;Leitura;Luz;Corrente 
0.1;11;870;516 
0.2;11;873;518 
0.3;9;873;517 
0.4;7;873;517 
0.5;9;873;517 
0.6;14;873;517 
0.7;12;873;517 
0.8;8;873;517 
0.9;15;873;517 
1.0;11;873;517 
1.1;13;873;517 
1.2;11;873;517 
1.3;12;873;517 
1.4;11;873;517 
1.5;9;873;517 
1.6;11;873;517 
1.7;12;873;517 
1.8;11;873;517 
1.9;5;873;517 
2.0;9;873;517 
2.1;7;873;517 
2.2;12;873;518 
2.3;14;873;517 
2.4;13;873;517 
2.5;10;873;518 
2.6;10;873;518 
2.7;18;873;518 
2.8;11;873;518 
2.9;10;873;517 
3.0;13;873;518 
