15/07/2026 16:50:42 
branco_19711_10.txt 
Soma: 687
Dose: 687.0
Time;Count;Current;Light 
0.1;24;441;519 
0.2;22;873;520 
0.3;27;876;520 
0.4;21;873;520 
0.5;23;876;519 
0.6;21;873;519 
0.7;20;876;519 
0.8;25;873;519 
0.9;22;876;520 
1.0;34;873;520 
1.1;14;873;520 
1.2;34;873;520 
1.3;22;873;520 
1.4;16;873;520 
1.5;23;876;520 
1.6;14;876;520 
1.7;24;876;520 
1.8;22;873;520 
1.9;27;873;520 
2.0;26;876;520 
2.1;20;876;520 
2.2;23;876;520 
2.3;21;876;520 
2.4;18;876;520 
2.5;23;876;520 
2.6;30;873;520 
2.7;23;876;520 
2.8;20;873;520 
2.9;22;873;520 
3.0;26;873;520 
