15/07/2026 16:42:41 
branco_11194_007.txt 
Soma: 649
Dose: 649.0
Time;Count;Current;Light 
0.1;26;444;530 
0.2;24;880;531 
0.3;22;883;531 
0.4;25;883;530 
0.5;20;880;531 
0.6;31;880;530 
0.7;20;883;530 
0.8;21;880;530 
0.9;25;883;530 
1.0;13;883;530 
1.1;21;880;530 
1.2;18;880;530 
1.3;20;883;531 
1.4;19;883;530 
1.5;19;880;530 
1.6;20;883;531 
1.7;20;883;531 
1.8;27;883;530 
1.9;22;883;531 
2.0;27;883;530 
2.1;20;883;531 
2.2;25;880;531 
2.3;15;880;531 
2.4;21;883;531 
2.5;26;883;531 
2.6;24;883;531 
2.7;21;880;531 
2.8;25;880;531 
2.9;13;880;531 
3.0;19;883;531 
