15/07/2026 16:38:46 
branco_5168_007.txt 
Soma: 1312
Dose: 1312.0
Time;Count;Current;Light 
0.1;30;444;531 
0.2;57;880;531 
0.3;56;880;531 
0.4;49;880;531 
0.5;51;880;531 
0.6;48;880;531 
0.7;32;880;531 
0.8;47;880;531 
0.9;45;880;531 
1.0;47;880;531 
1.1;42;880;531 
1.2;41;880;531 
1.3;43;880;532 
1.4;33;880;531 
1.5;43;880;531 
1.6;41;880;531 
1.7;42;880;532 
1.8;42;883;531 
1.9;50;880;532 
2.0;51;880;532 
2.1;35;880;532 
2.2;35;880;532 
2.3;55;883;532 
2.4;40;883;532 
2.5;42;883;532 
2.6;38;883;532 
2.7;40;880;532 
2.8;51;883;531 
2.9;43;880;532 
3.0;43;883;532 
