20/07/2026 16:13:30 
teste_travamento_9.txt 
Soma: 7177
Dose: 0.23684100000000002
Time;Count;Current;Light 
0.1;172;364;527 
0.2;202;752;527 
0.3;247;777;528 
0.4;238;777;529 
0.5;239;780;528 
0.6;237;777;529 
0.7;236;774;529 
0.8;264;780;529 
0.9;230;777;528 
1.0;217;777;529 
1.1;287;777;529 
1.2;239;777;529 
1.3;242;777;529 
1.4;235;777;529 
1.5;242;777;530 
1.6;248;777;529 
1.7;246;780;529 
1.8;248;780;528 
1.9;247;777;529 
2.0;239;784;529 
2.1;230;784;529 
2.2;245;780;530 
2.3;271;780;529 
2.4;237;780;530 
2.5;259;780;529 
2.6;245;780;529 
2.7;207;784;529 
2.8;227;780;529 
2.9;241;784;529 
3.0;260;784;529 
