20/07/2026 16:15:42 
teste_travamento_23.txt 
Soma: 7609
Dose: 0.251097
Time;Count;Current;Light 
0.1;196;361;511 
0.2;210;716;512 
0.3;195;716;512 
0.4;201;716;511 
0.5;214;720;512 
0.6;210;720;512 
0.7;203;720;512 
0.8;242;723;512 
0.9;207;736;513 
1.0;265;758;515 
1.1;226;761;515 
1.2;259;764;515 
1.3;286;761;515 
1.4;292;761;516 
1.5;285;764;516 
1.6;259;768;516 
1.7;298;764;516 
1.8;275;768;515 
1.9;246;764;516 
2.0;286;764;516 
2.1;270;764;516 
2.2;276;764;516 
2.3;281;764;516 
2.4;310;761;516 
2.5;289;764;516 
2.6;281;764;516 
2.7;257;768;517 
2.8;260;764;516 
2.9;285;764;516 
3.0;245;768;516 
