20/07/2026 16:13:38 
teste_travamento_10.txt 
Soma: 7383
Dose: 0.24363900000000002
Time;Count;Current;Light 
0.1;167;364;527 
0.2;198;748;526 
0.3;257;774;528 
0.4;254;777;528 
0.5;252;777;528 
0.6;243;777;529 
0.7;253;777;529 
0.8;222;780;528 
0.9;241;780;528 
1.0;249;780;529 
1.1;265;777;528 
1.2;229;780;529 
1.3;222;780;529 
1.4;253;780;529 
1.5;244;780;528 
1.6;238;784;528 
1.7;274;777;529 
1.8;254;780;530 
1.9;253;780;529 
2.0;248;780;529 
2.1;250;780;529 
2.2;269;780;529 
2.3;251;780;529 
2.4;267;784;529 
2.5;259;780;529 
2.6;245;784;530 
2.7;272;784;530 
2.8;232;784;529 
2.9;255;784;529 
3.0;267;784;530 
