20/07/2026 16:14:17 
teste_travamento_14.txt 
Soma: 7663
Dose: 0.252879
Time;Count;Current;Light 
0.1;216;364;525 
0.2;191;729;525 
0.3;243;771;527 
0.4;243;777;528 
0.5;265;777;528 
0.6;253;777;528 
0.7;244;777;528 
0.8;245;777;528 
0.9;276;777;527 
1.0;261;780;527 
1.1;247;777;527 
1.2;264;777;527 
1.3;252;780;528 
1.4;260;777;528 
1.5;265;780;527 
1.6;271;780;527 
1.7;260;777;528 
1.8;272;780;528 
1.9;270;780;529 
2.0;255;780;528 
2.1;271;780;528 
2.2;249;784;528 
2.3;263;780;528 
2.4;262;780;528 
2.5;271;784;528 
2.6;254;780;528 
2.7;260;784;528 
2.8;243;784;528 
2.9;264;780;528 
3.0;273;780;528 
