20/07/2026 16:12:12 
teste_travamento_2.txt 
Soma: 6335
Dose: 0.20905500000000002
Time;Count;Current;Light 
0.1;165;368;528 
0.2;187;774;530 
0.3;196;774;529 
0.4;182;774;530 
0.5;218;777;530 
0.6;223;777;529 
0.7;191;777;530 
0.8;228;777;530 
0.9;209;777;529 
1.0;211;780;529 
1.1;231;777;529 
1.2;216;780;530 
1.3;248;780;529 
1.4;224;780;529 
1.5;205;777;530 
1.6;207;780;530 
1.7;200;780;530 
1.8;194;780;530 
1.9;224;784;530 
2.0;194;780;530 
2.1;260;780;530 
2.2;196;780;530 
2.3;205;784;530 
2.4;219;784;530 
2.5;236;780;530 
2.6;216;784;530 
2.7;205;780;530 
2.8;221;784;530 
2.9;202;784;530 
3.0;222;784;530 
