02/07/2026 11:18:40 
teste2.txt 
Soma: 24416
Dose: 24416.0
Tempo;Leitura;Luz;Corrente 
0.0;330;478 
0.1;0;336;483 
0.2;0;333;478 
0.3;0;330;483 
0.4;0;333;478 
0.5;0;333;483 
0.6;0;333;483 
0.7;0;333;468 
0.8;0;333;478 
0.9;0;333;473 
1.0;0;330;478 
1.1;0;330;478 
1.2;0;333;478 
1.3;0;330;483 
1.4;0;333;483 
1.5;0;333;478 
1.6;0;326;483 
1.7;0;333;478 
1.8;0;323;488 
1.9;0;333;483 
2.0;0;326;492 
2.1;0;330;483 
2.2;0;330;483 
2.3;0;333;478 
2.4;0;333;483 
2.5;0;330;483 
2.6;0;336;483 
2.7;0;333;488 
2.8;0;346;488 
2.9;0;340;492 
3.0;0;
