02/07/2026 10:58:32 
teste1.txt 
Soma: 24337
Dose: 24337.0
Tempo;Leitura;Luz;Corrente 
0.0;13;185 
0.1;0;16;185 
0.2;0;20;185 
0.3;0;13;185 
0.4;0;16;190 
0.5;0;13;185 
0.6;0;16;185 
0.7;0;16;185 
0.8;0;13;185 
0.9;0;16;185 
1.0;0;16;185 
1.1;0;13;185 
1.2;0;13;185 
1.3;0;16;185 
1.4;0;13;175 
1.5;0;13;180 
1.6;0;13;180 
1.7;0;13;175 
1.8;0;13;175 
1.9;0;13;175 
2.0;0;13;175 
2.1;0;16;175 
2.2;0;13;180 
2.3;0;13;175 
2.4;0;16;175 
2.5;0;13;175 
2.6;0;16;175 
2.7;0;13;175 
2.8;0;13;175 
2.9;0;13;175 
3.0;0;0.0;13;209 
0.1;0;13;209 
0.2;0;13;209 
0.3;0;16;209 
0.4;0;13;209 
0.5;0;23;204 
0.6;0;13;209 
0.7;0;16;209 
0.8;0;13;204 
0.9;0;13;209 
1.0;0;13;209 
1.1;0;13;204 
1.2;0;16;204 
1.3;0;16;209 
1.4;0;13;204 
1.5;0;13;204 
1.6;0;13;204 
1.7;0;16;204 
1.8;0;13;204 
1.9;0;16;200 
2.0;0;13;204 
2.1;0;13;200 
2.2;0;16;204 
2.3;0;13;204 
2.4;0;13;204 
2.5;0;13;204 
2.6;0;16;200 
2.7;0;13;195 
2.8;0;13;204 
2.9;0;13;190 
3.0;0;0.0;13;175 
0.1;0;16;175 
0.2;0;13;170 
0.3;0;13;170 
0.4;0;13;175 
0.5;0;13;175 
0.6;0;13;170 
0.7;0;13;175 
0.8;0;13;175 
0.9;0;16;175 
1.0;0;16;175 
1.1;0;16;170 
1.2;0;13;175 
1.3;0;16;175 
1.4;0;13;170 
1.5;0;13;175 
1.6;0;16;170 
1.7;0;16;170 
1.8;0;23;175 
1.9;0;16;170 
2.0;0;13;170 
2.1;0;13;175 
2.2;0;16;175 
2.3;0;13;175 
2.4;0;13;170 
2.5;0;13;170 
2.6;0;13;175 
2.7;0;16;170 
2.8;0;16;175 
2.9;0;13;170 
3.0;0;0.0;13;190 
0.1;0;10;190 
0.2;0;13;190 
0.3;0;20;185 
0.4;0;13;185 
0.5;0;13;185 
0.6;0;16;180 
0.7;0;16;185 
0.8;0;13;185 
0.9;0;13;185 
1.0;0;13;185 
1.1;0;16;180 
1.2;0;16;185 
1.3;0;16;180 
1.4;0;13;185 
1.5;0;13;180 
1.6;0;16;180 
1.7;0;13;161 
1.8;0;16;156 
1.9;0;13;161 
2.0;0;13;161 
2.1;0;13;161 
2.2;0;13;161 
2.3;0;13;161 
2.4;0;13;161 
2.5;0;13;156 
2.6;0;13;161 
2.7;0;13;151 
2.8;0;16;151 
2.9;0;13;165 
3.0;0;0.0;333;478 
0.1;0;333;478 
0.2;0;333;478 
0.3;0;333;478 
0.4;0;330;478 
0.5;0;330;478 
0.6;0;333;478 
0.7;0;330;483 
0.8;0;333;478 
0.9;0;330;478 
1.0;0;333;488 
1.1;0;330;478 
1.2;0;336;478 
1.3;0;333;483 
1.4;0;330;478 
1.5;0;333;488 
1.6;0;330;478 
1.7;0;333;478 
1.8;0;340;478 
1.9;0;333;478 
2.0;0;333;478 
2.1;0;330;478 
2.2;0;330;478 
2.3;0;333;478 
2.4;0;333;478 
2.5;0;333;478 
2.6;0;330;478 
2.7;0;333;478 
2.8;0;330;478 
2.9;0;333;478 
3.0;0;
