02/07/2026 16:43:37 
teste6.txt 
Soma: 
Dose: 
Tempo;Leitura;Luz;Corrente 
0.1;390;570 
0.2;0;390;556 
0.3;0;390;561 
0.4;0;390;561 
0.5;0;390;561 
0.6;0;390;561 
0.7;0;387;556 
0.8;0;390;570 
0.9;0;390;561 
1.0;0;393;561 
1.1;0;397;561 
1.2;0;383;561 
1.3;0;383;551 
1.4;0;387;556 
1.5;0;383;556 
1.6;0;387;556 
1.7;0;387;556 
1.8;0;383;561 
1.9;0;383;551 
2.0;0;383;551 
2.1;0;383;551 
2.2;0;383;556 
2.3;0;383;551 
2.4;0;380;551 
2.5;0;383;561 
2.6;0;380;551 
2.7;0;380;551 
2.8;0;380;551 
2.9;0;380;546 
3.0;0;383;551 
3.1;0;
