02/07/2026 11:21:01 
teste3.txt 
Soma: 24260
Dose: 24260.0
Tempo;Leitura;Luz;Corrente 
0.1;333;478 
0.2;0;330;478 
0.3;0;330;483 
0.4;0;330;478 
0.5;0;333;483 
0.6;0;333;478 
0.7;0;330;478 
0.8;0;330;478 
0.9;0;333;478 
1.0;0;333;478 
1.1;0;330;478 
1.2;0;330;478 
1.3;0;333;483 
1.4;0;333;478 
1.5;0;330;478 
1.6;0;333;478 
1.7;0;330;478 
1.8;0;333;478 
1.9;0;333;478 
2.0;0;333;478 
2.1;0;330;478 
2.2;0;330;478 
2.3;0;333;478 
2.4;0;333;478 
2.5;0;333;478 
2.6;0;333;478 
2.7;0;330;478 
2.8;0;330;478 
2.9;0;333;478 
3.0;0;333;478 
3.1;0;0.1;330;478 
0.2;0;330;478 
0.3;0;333;478 
0.4;0;330;478 
0.5;0;330;478 
0.6;0;330;478 
0.7;0;330;478 
0.8;0;330;478 
0.9;0;330;478 
1.0;0;330;478 
1.1;0;330;478 
1.2;0;330;478 
1.3;0;330;478 
1.4;0;330;478 
1.5;0;330;478 
1.6;0;333;478 
1.7;0;330;478 
1.8;0;330;478 
1.9;0;330;478 
2.0;0;330;478 
2.1;0;333;483 
2.2;0;326;478 
2.3;0;330;478 
2.4;0;340;478 
2.5;0;330;478 
2.6;0;330;478 
2.7;0;330;478 
2.8;0;330;478 
2.9;0;330;478 
3.0;0;330;478 
3.1;0;
