02/07/2026 14:19:35 
teste5.txt 
Soma: 24480
Dose: 24480.0
Tempo;Leitura;Luz;Corrente 
0.1;333;478 
0.2;0;333;478 
0.3;0;333;478 
0.4;0;333;483 
0.5;0;333;492 
0.6;0;336;483 
0.7;0;340;478 
0.8;0;333;483 
0.9;0;330;483 
1.0;0;333;483 
1.1;0;333;483 
1.2;0;336;483 
1.3;0;333;483 
1.4;0;333;492 
1.5;0;336;483 
1.6;0;340;478 
1.7;0;336;483 
1.8;0;330;483 
1.9;0;333;483 
2.0;0;333;483 
2.1;0;333;483 
2.2;0;333;483 
2.3;0;333;478 
2.4;0;333;478 
2.5;0;333;483 
2.6;0;333;483 
2.7;0;333;478 
2.8;0;333;483 
2.9;0;330;488 
3.0;0;333;483 
3.1;0;
