02/07/2026 11:50:09 
teste4.txt 
Soma: 24564
Dose: 24564.0
Tempo;Leitura;Luz;Corrente 
0.1;330;483 
0.2;0;330;478 
0.3;0;333;478 
0.4;0;330;478 
0.5;0;330;478 
0.6;0;330;478 
0.7;0;330;478 
0.8;0;330;478 
0.9;0;330;478 
1.0;0;330;478 
1.1;0;330;478 
1.2;0;333;478 
1.3;0;333;483 
1.4;0;336;483 
1.5;0;330;478 
1.6;0;330;483 
1.7;0;330;483 
1.8;0;330;483 
1.9;0;333;488 
2.0;0;336;488 
2.1;0;336;488 
2.2;0;336;492 
2.3;0;340;492 
2.4;0;343;492 
2.5;0;343;488 
2.6;0;343;492 
2.7;0;343;492 
2.8;0;343;492 
2.9;0;343;497 
3.0;0;343;492 
3.1;0;
