20/07/2026 16:13:06 
teste_travamento_7.txt 
Soma: 6995
Dose: 0.230835
Time;Count;Current;Light 
0.1;168;364;527 
0.2;193;755;527 
0.3;257;774;529 
0.4;218;777;528 
0.5;238;774;528 
0.6;205;777;529 
0.7;245;774;529 
0.8;221;774;529 
0.9;255;777;528 
1.0;222;777;528 
1.1;236;777;529 
1.2;228;780;529 
1.3;265;777;529 
1.4;214;777;529 
1.5;245;777;529 
1.6;220;777;529 
1.7;226;777;529 
1.8;222;780;529 
1.9;246;780;529 
2.0;233;777;528 
2.1;226;777;529 
2.2;269;780;529 
2.3;266;780;529 
2.4;236;780;529 
2.5;234;780;529 
2.6;233;780;530 
2.7;250;780;529 
2.8;274;784;529 
2.9;235;780;529 
3.0;215;784;529 
