15/07/2026 15:28:17 
2998_007.txt 
Soma: 28449
Dose: 28449.0
Time;Count;Current;Light 
0.1;1435;444;530 
0.2;1386;880;530 
0.3;1397;880;530 
0.4;1270;880;530 
0.5;1210;880;529 
0.6;1201;880;529 
0.7;1128;880;529 
0.8;1133;880;530 
0.9;1087;880;529 
1.0;1100;880;530 
1.1;1068;880;530 
1.2;1011;880;530 
1.3;955;880;530 
1.4;915;880;530 
1.5;935;880;530 
1.6;887;880;530 
1.7;880;880;530 
1.8;824;880;530 
1.9;840;883;530 
2.0;817;880;530 
2.1;816;880;531 
2.2;700;880;530 
2.3;725;883;531 
2.4;680;883;530 
2.5;742;880;531 
2.6;690;883;530 
2.7;668;883;531 
2.8;681;880;530 
2.9;621;883;531 
3.0;647;883;530 
