15/07/2026 16:53:13 
branco_25344_007.txt 
Soma: 728
Dose: 728.0
Time;Count;Current;Light 
0.1;30;441;520 
0.2;29;876;521 
0.3;21;876;521 
0.4;20;876;521 
0.5;20;876;521 
0.6;31;876;521 
0.7;25;876;521 
0.8;18;876;521 
0.9;22;876;521 
1.0;30;876;521 
1.1;18;876;521 
1.2;28;876;521 
1.3;24;876;521 
1.4;25;876;521 
1.5;28;876;521 
1.6;27;876;521 
1.7;25;876;521 
1.8;25;876;521 
1.9;17;876;521 
2.0;31;876;521 
2.1;25;876;521 
2.2;25;876;521 
2.3;23;876;521 
2.4;23;876;521 
2.5;18;876;521 
2.6;25;876;521 
2.7;25;876;521 
2.8;23;876;521 
2.9;29;876;521 
3.0;18;876;521 
