17/07/2026 16:47:07 
25344_007.txt 
Soma: 76796
Dose: 2.2859097360000002
Time;Count;Current;Light 
0.1;4205;444;535 
0.2;3877;880;535 
0.3;3849;880;535 
0.4;3628;880;535 
0.5;3420;880;535 
0.6;3338;880;535 
0.7;3178;880;535 
0.8;3050;880;535 
0.9;2931;880;535 
1.0;2821;880;535 
1.1;2794;880;535 
1.2;2655;880;535 
1.3;2647;880;535 
1.4;2506;880;535 
1.5;2354;880;535 
1.6;2429;880;535 
1.7;2240;880;535 
1.8;2341;880;535 
1.9;2276;880;536 
2.0;2077;880;535 
2.1;2083;880;535 
2.2;1969;880;535 
2.3;1856;880;535 
2.4;1859;880;535 
2.5;1774;880;536 
2.6;1793;880;535 
2.7;1778;880;535 
2.8;1698;880;535 
2.9;1660;880;535 
3.0;1710;880;535 
