08/07/2026 12:48:59 
teste1.txt 
Soma: 530737
Dose: 530737.0
Tempo;Leitura;Luz;Corrente 
0.1;873;520 
0.2;62;876;522 
0.3;52;876;522 
0.4;54;876;521 
0.5;48;876;521 
0.6;59;876;522 
0.7;56;876;522 
0.8;46;876;522 
0.9;61;876;522 
1.0;54;876;522 
1.1;58;876;522 
1.2;47;876;522 
1.3;55;876;522 
1.4;58;876;522 
1.5;57;876;522 
1.6;59;876;522 
1.7;68;876;522 
1.8;51;876;522 
1.9;51;876;522 
2.0;44;876;522 
2.1;62;876;522 
2.2;48;876;522 
2.3;47;876;522 
2.4;50;876;522 
2.5;52;876;522 
2.6;56;876;522 
2.7;53;876;522 
2.8;57;876;522 
2.9;54;876;522 
3.0;68;876;522 
3.1;67;0.1;444;522 
0.2;1165;880;525 
0.3;1074;880;524 
0.4;1181;880;524 
0.5;1120;880;524 
0.6;1013;880;524 
0.7;1025;880;524 
0.8;1087;880;524 
0.9;1058;880;524 
1.0;1070;880;524 
1.1;1023;880;524 
1.2;910;880;524 
1.3;1034;880;524 
1.4;1007;880;524 
1.5;980;880;524 
1.6;978;880;525 
1.7;914;880;524 
1.8;890;880;525 
1.9;929;880;524 
2.0;929;880;524 
2.1;873;880;524 
2.2;819;880;525 
2.3;846;880;525 
2.4;846;880;525 
2.5;812;880;524 
2.6;845;880;524 
2.7;894;880;525 
2.8;815;880;525 
2.9;781;880;524 
3.0;788;880;525 
3.1;761;880;525 
3.2;783;880;525 
3.3;799;880;525 
3.4;745;880;525 
3.5;784;880;525 
3.6;766;880;525 
3.7;759;880;525 
3.8;728;880;525 
3.9;694;880;525 
4.0;738;880;525 
4.1;728;880;525 
4.2;667;880;525 
4.3;727;880;525 
4.4;682;880;525 
4.5;691;880;525 
4.6;641;880;525 
4.7;682;880;525 
4.8;666;880;525 
4.9;669;880;526 
5.0;667;880;525 
5.1;655;880;525 
5.2;611;880;525 
5.3;680;880;525 
5.4;619;880;525 
5.5;567;880;525 
5.6;609;880;525 
5.7;599;880;526 
5.8;589;880;526 
5.9;629;880;526 
6.0;574;880;525 
6.1;554;880;525 
6.2;585;880;526 
6.3;595;880;525 
6.4;541;880;525 
6.5;575;880;525 
6.6;593;880;526 
6.7;545;880;526 
6.8;527;880;525 
6.9;544;880;525 
7.0;558;880;525 
7.1;540;880;525 
7.2;501;880;525 
7.3;487;880;525 
7.4;519;880;525 
7.5;541;880;525 
7.6;504;880;525 
7.7;505;880;525 
7.8;501;880;525 
7.9;513;880;525 
8.0;446;880;525 
8.1;480;880;525 
8.2;471;880;525 
8.3;476;880;526 
8.4;480;880;525 
8.5;425;880;525 
8.6;449;880;525 
8.7;449;880;525 
8.8;437;880;525 
8.9;421;880;525 
9.0;435;880;525 
9.1;429;880;525 
9.2;434;880;525 
9.3;412;880;525 
9.4;417;880;525 
9.5;385;880;525 
9.6;438;880;525 
9.7;384;880;525 
9.8;403;880;525 
9.9;407;880;525 
10.0;398;880;525 
10.1;345;880;525 
10.2;388;880;525 
10.3;399;880;525 
10.4;358;880;525 
10.5;363;880;525 
10.6;382;880;525 
10.7;334;880;525 
10.8;395;880;525 
10.9;376;880;525 
11.0;385;880;525 
11.1;368;880;525 
11.2;359;880;525 
11.3;337;880;525 
11.4;328;880;525 
11.5;383;880;525 
11.6;359;880;525 
