10/06/2026 13:11:46 
teste_log_dens_iled_4.txt 
Soma: 
Dose: 
0.1 0 
1067 	488 	0.2 0 
1084 	488 	0.3 0 
1080 	488 	0.4 0 
1087 	478 	0.5 0 
1087 	488 	0.6 0 
1091 	483 	0.7 0 
1087 	488 	0.8 0 
1091 	488 	0.9 0 
1084 	492 	1.0 0 
1084 	488 	1.1 0 
1080 	492 	1.2 0 
1077 	488 	1.3 0 
1077 	488 	1.4 0 
1074 	492 	1.5 0 
1077 	488 	1.6 0 
1077 	512 	1.7 0 
1077 	488 	1.8 0 
1074 	488 	1.9 0 
1067 	488 	2.0 0 
1070 	488 	2.1 0 
1067 	478 	2.2 0 
1070 	488 	2.3 0 
1067 	488 	2.4 0 
1074 	488 	2.5 0 
1064 	492 	2.6 0 
1064 	478 	2.7 0 
1064 	488 	2.8 0 
1060 	483 	2.9 0 
1057 	488 	3.0 0 
1057 	488 	
