10/06/2026 13:10:29 
teste_log_dens_iled_3.txt 
Soma: 
Dose: 
0.1 0 
1057 	502 	0.2 0 
1064 	488 	0.3 0 
1070 	478 	0.4 0 
1074 	488 	0.5 0 
1077 	488 	0.6 0 
1077 	488 	0.7 0 
1077 	488 	0.8 0 
1077 	488 	0.9 0 
1087 	488 	1.0 0 
1074 	488 	1.1 0 
1070 	473 	1.2 0 
1074 	488 	1.3 0 
1070 	483 	1.4 0 
1084 	488 	1.5 0 
1070 	488 	1.6 0 
1070 	488 	1.7 0 
1067 	488 	1.8 0 
1067 	488 	1.9 0 
1060 	488 	2.0 0 
1064 	488 	2.1 0 
1064 	502 	2.2 0 
1060 	488 	2.3 0 
1060 	488 	2.4 0 
1057 	492 	2.5 0 
1057 	488 	2.6 0 
1057 	478 	2.7 0 
1047 	488 	2.8 0 
1057 	488 	2.9 0 
1054 	483 	3.0 0 
1050 	483 	
