10/06/2026 13:27:06 
teste_log_dens_iled_7.txt 
Soma: 76038
Dose: 76038.0
0.1 0 	1751 	2308 
-0.8 0 	1515 	2186 
-1.7 0 	1404 	2049 
-2.6 0 	1320 	1922 
-3.5 0 	1245 	1815 
-4.4 0 	1181 	1722 
-5.3 0 	1128 	1639 
-6.2 0 	1084 	1571 
-7.1 0 	1047 	1517 
-8.0 0 	1016 	1473 
-8.9 0 	993 	1439 
-9.8 0 	976 	1410 
-10.7 0 	959 	1385 
-11.6 0 	949 	1371 
-12.5 0 	939 	1356 
-13.4 0 	932 	1346 
-14.3 0 	926 	1337 
-15.2 0 	922 	1327 
-16.1 0 	915 	1322 
-17.0 0 	915 	1317 
-17.9 0 	912 	1317 
-18.8 0 	909 	1312 
-19.7 0 	909 	1307 
-20.6 0 	905 	1307 
-21.5 0 	905 	1307 
-22.4 0 	905 	1302 
-23.3 0 	902 	1302 
-24.2 0 	902 	1302 
-25.1 0 	902 	1302 
-26.0 0 	902 	1298 
