10/06/2026 13:37:57 
teste_log_dens_iled_8.txt 
Soma: 
Dose: 
0.1 0 	1754 	2308 
-0.8 0 	1515 	2191 
-1.7 0 	1407 	2049 
-2.6 0 	1320 	1922 
-3.5 0 	1245 	1815 
-4.4 0 	1181 	1717 
-5.3 0 	1128 	1639 
-6.2 0 	1080 	1571 
-7.1 0 	1043 	1517 
-8.0 0 	1013 	1468 
-8.9 0 	990 	1434 
-9.8 0 	973 	1405 
-10.7 0 	956 	1381 
-11.6 0 	942 	1361 
-12.5 0 	932 	1346 
-13.4 0 	926 	1337 
-14.3 0 	919 	1327 
-15.2 0 	915 	1322 
-16.1 0 	912 	1317 
-17.0 0 	909 	1312 
-17.9 0 	909 	1307 
-18.8 0 	905 	1302 
-19.7 0 	902 	1302 
-20.6 0 	902 	1302 
-21.5 0 	902 	1298 
-22.4 0 	899 	1298 
-23.3 0 	899 	1298 
-24.2 0 	899 	1293 
-25.1 0 	895 	1293 
-26.0 0 	895 	1293 
