10/06/2026 13:07:07 
teste_log_dens_iled_2.txt 
Soma: 47640
Dose: 47640.0
1067 	536 	0.1 0 
1077 	536 	0.2 0 
1084 	536 	0.3 0 
1091 	531 	0.4 0 
1091 	536 	0.5 0 
1094 	531 	0.6 0 
1094 	531 	0.7 0 
1084 	527 	0.8 0 
1094 	517 	0.9 0 
1091 	522 	1.0 0 
1091 	517 	1.1 0 
1091 	517 	1.2 0 
1077 	522 	1.3 0 
1084 	512 	1.4 0 
1080 	517 	1.5 0 
1077 	512 	1.6 0 
1077 	512 	1.7 0 
1070 	512 	1.8 0 
1074 	507 	1.9 0 
1070 	507 	2.0 0 
1070 	502 	2.1 0 
1070 	507 	2.2 0 
1064 	502 	2.3 0 
1067 	492 	2.4 0 
1064 	492 	2.5 0 
1064 	483 	2.6 0 
1060 	492 	2.7 0 
1050 	488 	2.8 0 
1057 	478 	2.9 0 
1054 	488 	3.0 0 
