10/06/2026 13:40:43 
teste_log_dens_iled_9.txt 
Soma: 75633
Dose: 75633.0
0.0;0;1754;2313 
0.1;0;1518;2191 
0.2;0;1407;2049 
0.3;0;1320;1922 
0.4;0;1242;1810 
0.5;0;1181;1717 
0.6;0;1124;1634 
0.7;0;1080;1561 
0.8;0;1040;1512 
0.9;0;1010;1464 
1.0;0;986;1429 
1.1;0;969;1400 
1.2;0;952;1381 
1.3;0;939;1361 
1.4;0;932;1346 
1.5;0;919;1332 
1.6;0;915;1327 
1.7;0;912;1322 
1.8;0;909;1312 
1.9;0;905;1307 
2.0;0;905;1302 
2.1;0;902;1302 
2.2;0;902;1302 
2.3;0;899;1298 
2.4;0;899;1293 
2.5;0;895;1293 
2.6;0;895;1293 
2.7;0;895;1293 
2.8;0;895;1288 
2.9;0;895;1283 
