15/06/2026 14:48:35 
teste_fonte_corrente.txt 
Soma: 1939115738
Dose: 1939115738.0
51869;1801;2381 
51870;1693;2410 
51871;1663;2391 
51873;1643;2366 
51876;1626;2347 
51879;1609;2322 
51883;1592;2298 
51886;1575;2274 
51889;1562;2249 
51892;1542;2225 
51895;1528;2200 
51898;1511;2181 
51901;1495;2156 
51904;1478;2132 
51908;1464;2108 
51911;1448;2088 
51914;1434;2069 
51917;1417;2044 
51920;1400;2020 
51923;1387;1995 
51927;1370;1976 
51930;1357;1956 
51933;1343;1937 
51936;1326;1912 
51939;1313;1893 
51942;1299;1873 
51945;1282;1854 
51948;1269;1834 
51951;1256;1815 
51955;1242;1790 
51958;1229;1771 
51961;1215;1756 
51964;1202;1737 
51968;1188;1712 
51971;1175;1698 
51974;1161;1673 
51977;1148;1654 
51980;1134;1639 
51983;1124;1620 
51986;1111;1605 
51989;1097;1586 
51992;1084;1566 
51995;1074;1546 
51999;1060;1532 
52002;1050;1512 
52005;1037;1498 
52008;1023;1478 
52012;1013;1464 
52015;1003;1449 
52018;990;1429 
52021;979;1410 
52024;969;1395 
52027;959;1381 
52030;949;1366 
52033;936;1351 
52036;926;1337 
52039;915;1322 
52043;905;1302 
52046;895;1293 
52049;885;1278 
52052;875;1263 
52056;865;1249 
52059;855;1234 
52062;845;1220 
52065;835;1210 
52068;828;1190 
52071;818;1176 
52074;808;1166 
52077;798;1151 
52080;791;1141 
52083;784;1127 
52087;774;1117 
52090;767;1102 
52093;757;1093 
52097;750;1078 
52100;744;1068 
52103;734;1058 
52106;727;1044 
52109;720;1034 
52112;713;1024 
52115;707;1015 
52118;697;1005 
52121;690;995 
52124;683;985 
52127;676;976 
52131;673;966 
52134;666;961 
52137;660;951 
52141;653;941 
52144;646;932 
52147;643;927 
52150;636;917 
52153;633;912 
52156;626;902 
52159;622;893 
52162;616;888 
52165;612;883 
52168;606;873 
52171;602;868 
52175;596;858 
52178;592;854 
52182;589;849 
52185;585;839 
52188;582;834 
52191;575;829 
52194;572;824 
52197;569;819 
52200;565;814 
52203;562;810 
52206;558;805 
52209;555;800 
52212;552;795 
52215;548;790 
52219;545;785 
52222;542;780 
52226;538;775 
52229;538;771 
52232;535;771 
52235;532;766 
52238;528;761 
52241;525;761 
52244;521;756 
52247;521;751 
52250;521;751 
52253;518;746 
52256;515;741 
52259;511;741 
52263;511;741 
52267;511;736 
52270;508;732 
52273;505;727 
52276;505;727 
52279;501;727 
52282;501;722 
52285;501;722 
52288;498;717 
52291;498;717 
52294;495;717 
52297;495;712 
52300;495;712 
52303;491;707 
52307;491;707 
52311;488;707 
52314;488;707 
52317;488;707 
52320;484;702 
52323;484;697 
52326;484;697 
52329;484;697 
52332;484;697 
52335;484;697 
52338;481;697 
52341;481;692 
52344;478;692 
52347;478;692 
52352;478;692 
52355;478;688 
52358;474;688 
52361;474;688 
52364;474;688 
52367;474;688 
52370;471;683 
52373;471;683 
52376;471;683 
52379;471;683 
52382;471;683 
52385;471;678 
52388;468;678 
52391;468;678 
52396;468;678 
52399;468;678 
52402;468;678 
52405;468;673 
52408;468;673 
52411;468;673 
52414;468;678 
52417;468;678 
52420;464;673 
52423;464;673 
52426;464;673 
52429;464;673 
52432;464;673 
52435;464;668 
52440;464;673 
52443;464;673 
52446;461;668 
52449;464;668 
52452;464;668 
52455;461;668 
52458;461;668 
52461;461;668 
52464;464;668 
52467;464;673 
52470;461;668 
52473;461;668 
52476;461;668 
52480;461;668 
52484;461;668 
52487;461;668 
52490;461;668 
52493;461;668 
52496;457;668 
52499;461;663 
52502;461;663 
52505;457;663 
52508;457;663 
52511;457;663 
52514;457;663 
52517;457;663 
52520;457;663 
52524;457;663 
52528;457;663 
52531;457;663 
52534;457;663 
52537;457;663 
52540;457;663 
52543;457;663 
52546;457;663 
52549;457;663 
52552;457;663 
52555;457;663 
52558;457;663 
52561;457;663 
52564;457;663 
52568;457;663 
52572;457;663 
52575;457;663 
52578;457;663 
52581;457;663 
52584;457;663 
52587;457;658 
52590;457;663 
52593;457;663 
52596;457;663 
52599;457;663 
52602;457;658 
52605;457;658 
52609;454;658 
52612;457;658 
52616;457;663 
52619;457;663 
52622;454;658 
52625;457;658 
52628;457;658 
52631;457;658 
52634;457;663 
52637;454;658 
52640;457;663 
52643;457;663 
52646;454;658 
52649;457;658 
52653;454;658 
52656;454;658 
52660;457;658 
52663;454;658 
52666;457;663 
52669;457;663 
52672;454;658 
52675;454;658 
52678;457;658 
52681;454;658 
52684;457;658 
52687;454;658 
52690;454;658 
52694;454;658 
52697;454;658 
52700;454;658 
52704;454;658 
52707;454;658 
52710;454;658 
52713;454;658 
52716;454;658 
52719;454;658 
52722;451;653 
52725;454;653 
52728;454;658 
52731;454;658 
52734;454;653 
52738;454;653 
52741;454;658 
52744;454;658 
52748;454;658 
52751;454;658 
52754;454;653 
52757;454;653 
52760;454;653 
52763;454;658 
52766;454;658 
52769;454;658 
52772;451;653 
52775;451;653 
52779;454;653 
52782;454;653 
52785;454;653 
52788;451;653 
52792;451;653 
52795;451;653 
52798;451;653 
52801;451;653 
52804;451;649 
52807;451;649 
52810;451;653 
52813;451;653 
52816;451;653 
52819;451;653 
52823;447;649 
52826;451;653 
52829;451;653 
52832;451;653 
52836;451;653 
52839;451;649 
52842;451;653 
52845;451;653 
52848;451;653 
52851;451;653 
52854;451;653 
52857;451;649 
52860;451;653 
52864;451;653 
52867;451;653 
52870;451;653 
52873;447;649 
52876;451;649 
52880;451;653 
52883;451;649 
52886;451;649 
52889;451;649 
52892;451;653 
52895;451;653 
52898;451;653 
52901;451;649 
52904;451;649 
52908;451;649 
52911;451;649 
52914;451;653 
52917;451;653 
52920;451;653 
52924;447;649 
52927;451;649 
52930;451;653 
52933;451;653 
52936;451;649 
52939;451;649 
