03/07/2026 13:20:26 
80019711_Hp10.txt 
Soma: 846770
Dose: 846770.0
Tempo;Leitura;Luz;Corrente 
28.6;1;876;531 
28.7;1;876;531 
28.8;2;876;531 
28.9;3;876;531 
29.0;3;876;531 
29.1;4;876;531 
29.2;3;876;531 
29.3;3;876;531 
29.4;2;876;531 
29.5;4;876;531 
29.6;6;876;531 
29.7;1;876;531 
29.8;4;876;531 
29.9;1;876;531 
30.0;0;876;531 
30.1;3;876;531 
30.2;3;876;531 
30.3;1;876;531 
30.4;2;876;531 
30.5;1;876;531 
30.6;4;876;531 
30.7;0;876;531 
30.8;5;876;531 
30.9;2;876;531 
31.0;3;876;531 
31.1;1;876;531 
31.2;2;876;531 
31.3;1;876;531 
31.4;4;876;531 
31.5;2;876;531 
31.6;0;876;531 
31.7;2;876;531 
31.8;2;876;531 
31.9;3;876;530 
32.0;1;876;531 
32.1;3;876;531 
32.2;0;876;531 
32.3;0;876;531 
32.4;3;876;531 
32.5;0;876;531 
32.6;1;876;530 
32.7;0;876;531 
32.8;1;876;530 
32.9;4;876;531 
33.0;2;876;530 
33.1;2;876;530 
33.2;2;876;530 
33.3;3;876;530 
33.4;1;876;530 
33.5;1;876;530 
33.6;5;876;530 
33.7;1;876;530 
33.8;4;876;530 
33.9;2;876;530 
34.0;1;876;530 
34.1;3;876;530 
34.2;1;876;530 
34.3;2;876;530 
34.4;2;876;530 
34.5;3;876;530 
34.6;3;876;530 
34.7;4;876;530 
34.8;1;876;530 
34.9;3;876;530 
35.0;1;876;530 
35.1;1;876;530 
35.2;1;876;530 
35.3;1;876;530 
35.4;1;876;530 
35.5;2;876;530 
35.6;2;876;530 
35.7;1;876;530 
35.8;0;876;530 
35.9;3;876;530 
36.0;2;876;530 
36.1;3;876;530 
36.2;4;876;530 
36.3;1;876;530 
36.4;3;876;530 
36.5;2;876;530 
36.6;2;876;530 
36.7;0;876;530 
36.8;0;876;530 
36.9;1;876;530 
37.0;1;876;530 
37.1;0;876;529 
37.2;4;876;530 
37.3;2;876;530 
37.4;1;876;530 
37.5;0;876;530 
37.6;1;876;531 
37.7;2;876;530 
37.8;2;876;530 
37.9;2;876;530 
38.0;0;876;530 
38.1;2;876;530 
38.2;3;876;530 
38.3;2;876;530 
38.4;1;876;530 
38.5;2;876;530 
38.6;3;876;530 
38.7;1;876;530 
38.8;0;876;530 
38.9;3;876;530 
39.0;3;876;530 
39.1;4;876;530 
39.2;0;876;530 
39.3;7;876;530 
39.4;2;876;530 
39.5;1;876;530 
39.6;1;876;530 
39.7;2;876;530 
39.8;1;876;530 
39.9;3;876;530 
40.0;2;876;530 
40.1;2;876;530 
40.2;0;876;530 
40.3;2;876;530 
40.4;2;876;530 
40.5;2;876;530 
40.6;1;876;530 
40.7;1;876;530 
40.8;0;876;530 
40.9;1;876;530 
41.0;0;876;530 
41.1;1;876;530 
41.2;1;876;530 
41.3;3;876;530 
41.4;2;876;530 
41.5;0;876;530 
41.6;1;876;530 
41.7;4;876;530 
41.8;1;876;530 
41.9;0;876;530 
