03/07/2026 13:24:24 
80019711_Hp07.txt 
Soma: 
Dose: 
Tempo;Leitura;Luz;Corrente 
28.6;4;876;528 
28.7;2;876;528 
28.8;5;876;528 
28.9;4;876;528 
29.0;1;876;528 
29.1;3;876;528 
29.2;3;876;528 
29.3;5;876;528 
29.4;5;876;528 
29.5;6;876;528 
29.6;7;876;528 
29.7;1;876;528 
29.8;4;876;528 
29.9;0;876;528 
30.0;3;876;528 
30.1;2;876;528 
30.2;4;876;528 
30.3;2;876;528 
30.4;2;876;528 
30.5;5;876;528 
30.6;2;876;528 
30.7;1;876;528 
30.8;0;876;528 
30.9;3;876;528 
31.0;2;876;528 
31.1;3;876;528 
31.2;3;876;528 
31.3;3;876;528 
31.4;1;876;528 
31.5;1;876;528 
31.6;3;876;528 
31.7;4;876;528 
31.8;2;876;528 
31.9;3;876;528 
32.0;2;876;528 
32.1;1;876;528 
32.2;4;876;528 
32.3;2;876;528 
32.4;3;876;528 
32.5;1;876;528 
32.6;2;876;528 
32.7;6;876;528 
32.8;3;876;528 
32.9;4;876;528 
33.0;5;876;528 
33.1;4;876;528 
33.2;0;876;528 
33.3;2;876;528 
33.4;6;876;528 
33.5;3;876;528 
33.6;1;876;528 
33.7;3;876;528 
33.8;1;876;528 
33.9;3;876;527 
34.0;1;876;528 
34.1;2;876;528 
34.2;3;876;527 
34.3;1;876;527 
34.4;3;876;527 
34.5;1;876;527 
34.6;1;876;527 
34.7;4;876;528 
34.8;1;876;527 
34.9;1;876;527 
35.0;3;876;527 
35.1;0;876;527 
35.2;0;876;527 
35.3;2;876;527 
35.4;3;876;527 
35.5;3;876;527 
35.6;0;876;527 
35.7;2;876;527 
35.8;4;876;527 
35.9;4;876;527 
36.0;2;876;527 
36.1;4;876;527 
36.2;2;876;527 
36.3;1;876;527 
36.4;2;876;527 
36.5;0;876;527 
36.6;2;876;527 
36.7;1;876;527 
36.8;3;876;527 
36.9;3;876;527 
37.0;1;876;527 
37.1;2;876;527 
37.2;2;876;527 
37.3;0;876;527 
37.4;0;876;527 
37.5;1;876;527 
37.6;3;876;527 
37.7;3;876;527 
37.8;1;876;527 
37.9;1;876;527 
38.0;1;876;527 
38.1;4;876;527 
38.2;0;876;527 
38.3;0;876;527 
38.4;2;876;527 
38.5;2;876;527 
38.6;2;876;527 
38.7;1;876;527 
38.8;1;876;527 
38.9;5;876;527 
39.0;3;876;527 
39.1;1;876;527 
39.2;1;876;527 
39.3;0;876;527 
39.4;2;876;527 
39.5;0;876;527 
39.6;1;876;527 
39.7;0;876;527 
39.8;1;876;527 
39.9;5;876;527 
40.0;0;876;527 
40.1;1;876;527 
40.2;4;876;527 
40.3;2;876;527 
40.4;3;876;527 
40.5;1;876;527 
40.6;2;876;527 
40.7;1;876;527 
40.8;4;876;527 
40.9;1;876;528 
41.0;0;876;527 
41.1;5;876;527 
41.2;2;876;527 
41.3;1;876;527 
41.4;3;876;527 
41.5;5;876;527 
41.6;1;876;527 
41.7;0;876;527 
41.8;0;876;527 
41.9;3;876;527 
42.0;2;876;527 
42.1;0;876;527 
42.2;2;876;527 
42.3;3;876;527 
42.4;0;876;527 
42.5;2;876;527 
42.6;1;876;527 
42.7;2;876;527 
42.8;1;876;527 
42.9;2;876;526 
43.0;3;876;527 
43.1;1;876;527 
43.2;0;876;527 
43.3;2;876;527 
43.4;2;876;526 
43.5;0;876;527 
43.6;1;876;527 
43.7;0;876;527 
43.8;2;876;527 
43.9;2;876;527 
44.0;1;876;527 
44.1;1;876;527 
44.2;1;876;527 
44.3;2;876;527 
44.4;1;876;527 
44.5;3;876;527 
44.6;7;876;527 
44.7;1;876;526 
44.8;3;876;527 
44.9;3;876;527 
45.0;2;876;527 
45.1;0;876;527 
45.2;2;876;527 
45.3;1;876;526 
45.4;3;876;526 
45.5;1;876;526 
45.6;0;876;526 
45.7;2;876;526 
45.8;1;876;526 
45.9;1;876;526 
46.0;3;876;526 
46.1;1;876;526 
46.2;0;876;526 
46.3;2;876;526 
46.4;3;876;526 
46.5;0;876;526 
46.6;1;876;526 
46.7;1;876;526 
46.8;1;876;526 
46.9;1;876;526 
47.0;0;876;526 
47.1;1;876;526 
47.2;1;876;526 
47.3;0;876;526 
47.4;1;876;527 
47.5;1;876;526 
47.6;1;876;527 
47.7;1;876;526 
47.8;3;876;526 
47.9;2;876;526 
48.0;5;876;527 
48.1;1;876;526 
48.2;2;876;526 
48.3;0;876;526 
48.4;0;876;526 
48.5;1;876;526 
48.6;1;876;526 
48.7;2;876;526 
48.8;2;876;526 
48.9;1;876;526 
49.0;1;876;526 
49.1;2;876;526 
49.2;1;876;526 
49.3;1;876;526 
49.4;4;876;526 
49.5;1;876;526 
49.6;1;876;526 
49.7;1;876;526 
49.8;1;876;526 
49.9;1;876;526 
50.0;1;876;526 
50.1;0;876;526 
50.2;4;876;526 
50.3;1;876;526 
50.4;2;876;526 
50.5;0;876;526 
50.6;3;876;526 
50.7;1;876;526 
50.8;2;876;526 
50.9;2;876;526 
51.0;0;876;526 
51.1;1;876;526 
51.2;0;876;526 
51.3;3;876;526 
51.4;0;876;526 
51.5;0;876;526 
51.6;2;876;526 
51.7;5;876;526 
51.8;1;876;526 
51.9;2;876;526 
52.0;4;876;526 
52.1;0;876;526 
52.2;1;876;526 
52.3;2;876;526 
52.4;0;876;526 
52.5;1;876;526 
52.6;1;876;525 
52.7;1;876;526 
52.8;3;876;526 
52.9;0;876;526 
53.0;1;876;525 
53.1;0;876;526 
53.2;2;876;526 
53.3;2;876;525 
53.4;2;876;526 
53.5;1;876;526 
53.6;1;876;526 
53.7;1;876;526 
53.8;0;876;525 
53.9;0;876;526 
54.0;1;876;526 
54.1;2;876;526 
54.2;0;876;525 
54.3;0;876;526 
54.4;1;876;526 
54.5;0;876;526 
54.6;1;876;526 
54.7;0;876;526 
54.8;2;876;526 
54.9;2;876;526 
55.0;1;876;526 
55.1;0;876;526 
55.2;2;876;526 
55.3;1;876;526 
55.4;1;876;526 
55.5;0;876;526 
55.6;3;876;525 
55.7;1;876;526 
55.8;1;876;526 
55.9;0;876;526 
56.0;0;876;526 
56.1;2;876;526 
56.2;1;876;526 
56.3;2;876;526 
56.4;2;876;526 
56.5;1;876;525 
56.6;1;876;525 
56.7;0;876;526 
56.8;2;876;526 
56.9;4;876;526 
57.0;0;876;526 
57.1;0;876;525 
57.2;1;876;526 
57.3;3;876;525 
57.4;0;876;525 
57.5;1;876;526 
57.6;2;876;526 
57.7;3;876;525 
57.8;0;876;526 
57.9;1;876;526 
58.0;1;876;525 
58.1;0;876;526 
58.2;0;876;526 
58.3;1;876;525 
58.4;0;876;525 
58.5;0;876;525 
58.6;0;876;525 
58.7;2;876;525 
58.8;0;876;525 
58.9;1;876;525 
59.0;2;876;525 
59.1;2;876;525 
59.2;1;876;525 
59.3;1;876;525 
59.4;0;876;525 
59.5;1;876;525 
59.6;0;876;525 
59.7;0;876;525 
59.8;0;876;525 
59.9;0;876;525 
60.0;1;876;525 
60.1;1;
