03/07/2026 12:07:06 
teste5.txt 
Soma: 44576
Dose: 44576.0
Tempo;Leitura;Luz;Corrente 
0.1;932;550 
0.2;0;936;550 
0.3;0;936;550 
0.4;0;936;550 
0.5;0;936;550 
0.6;0;936;550 
0.7;0;936;550 
0.8;0;936;550 
0.9;0;936;550 
1.0;0;936;550 
1.1;0;936;550 
1.2;0;936;550 
1.3;0;936;550 
1.4;0;936;550 
1.5;0;936;550 
1.6;0;936;550 
1.7;0;936;550 
1.8;0;936;550 
1.9;0;936;550 
2.0;0;936;550 
2.1;0;936;550 
2.2;0;936;550 
2.3;0;936;550 
2.4;0;936;550 
2.5;0;936;550 
2.6;0;936;550 
2.7;0;936;550 
2.8;0;936;550 
2.9;0;936;550 
3.0;0;936;550 
3.1;0;
